Begin Time - msec,End Time - msec,Yonaguni
442671,444603,ka=mi k-ar-i a=nga
446820,451703,nun=di n <sekai-san>=nki=d ai b-u=nga=jo
452021,458115,u-ma=nu hama=nu <sjasin> <onasi> madun hi-ta-ru ttu=nga tu-i=ti
458798,460266,<tsume-kiri> ugu-i s-u=ndi n-ta-n-su=ja
465060,468146,u=nni=nu duguru-nta=du=jo
469605,475830,ciga-i=ja ki=ja kir-u=nga <jappari> u=nu munu <bakudan> utu-su=tu=ka=jo
476016,478531,u=nni=nu basu=ni=ja nigura=du a-ta-ru=ban=ja
478743,484311,n=ti a=di bata-i=ti <sorekara> <igirisu>=nki it-i=ti
484366,492401,<igirisu>=nu (kama nu=ndja=ja?) hacci=nga ttabus-i=ti a-i=ti hacci=nki it-i=ti
493170,502171,u=nni=nu munu-nta=nga=du=jo <joroppa>=nu <rjokoo>=ja araagu nsa-ta-ru=je
507760,514906,<dakara zjuu-kjuu-mee=nu=jo> ttu=nga nn-ja-ru=mama buuru u=nu ttu=ja nu=nni=nu nn-i-gata=nki
514990,520445,u=nni=nu ttu=ja <joroppa>=ja (m ndi) buuru=ma du=nu nn-ita-ru kutu buru
520556,524893,n ka-ri k-at-jar-u=cidi n=ti <gakko>-nta=nki it-i=ti
525321,530506,<kono> banu=ja <moo> <gakko>=du <daitai> nn-i=ndi h-i-bu-ta-ru=ngara=jo
531740,536551,<ceko>=ja minunga sinsi=nga=du mai-sa-ru=cidi=ndja <koocoo>-nta=n
537800,541591,n=ti u-ma=tu ciga-u-n-su=ja=jo
541790,547130,ka-ma=ja <sjootai> kir-u=ba=jo du=nu tun-butu nd-i=ti anu
548550,552880,<koocoo>=nga n-ta=ja duru=nu <sjootai>=ja=jo
553535,556330,butu=bain ab-ir-u=cidi ttan (tun?)
557286,563985,u=nni (ni)nd-u sagu(=ma) du=nu <danna> <odaizi>=nni k-i=ti banu=ja ttui=na=du h-ju-n=su=ja <zjuu-kjuu-mee>
564171,568935,ka-ma=ja kanaa=di u=nni=nu atsumar-i=nki=ja ttan-tu=nga k-u=ndi nd-u kutu
569175,578565,<are=da=nee koo iu fuu=ni> tun=bain tun=nga a-ta=ja butu ab-i butu=nga a-ta=ja tun ab-i=ndi=jo
579115,586451,(mo) u=nni=nu <kaigo>-nta=ni=ja=jo n-simi-ta-n-su(-nta)=nga=du=jee u-ma=tu ciga-i bu-ta-ru
