Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
20608,21643,kagun,1,kagun
21706,23512,ndi katin=dagi,2,ndi katindagi
28207,31003,<kaku=wa hjouzjungo=jo> kagun<=to=ga iu>,3,qkakuwa qhjouzjungojo kagunqtoga qiu
33410,35302,di katin=dagi,4,di katindagi
47246,48685,<soo> katitan=do,5,qsoo katitando
53637,55207,katitan=do,6,katitando
65038,67826,kati butan=do<=to=wa iu=kedo=jo>,7,kati butandoqtowa qiukedojo
75867,77410,katjaru di,8,katjaru di
80100,81939,u=ja katjaru di=do,9,uja katjaru dido
96072,97298,katjaru di,10,katjaru di
98744,101688,<kaku=ga are=dakara> katjaru di=do,11,qkakuga qaredakara katjaru dido
115262,116172,nai=gara,12,naigara
120045,122742,nai=gara kagu di=do,13,naigara kagu dido
127650,129747,nai=gara kagu=di=do,14,naigara kagudido
141548,143734,ma katjaru di=do,15,ma katjaru dido
156388,157859,n da nu=ba ki buta=nga,16,n da nuba ki butanga
160400,162747,di=du kati butaru=do<=to=ka>,17,didu kati butarudoqtoka
162839,165351,da (ntaru?) di=ja katan=do<=to=mo>,18,da ntaru dija katandoqtomo
172456,173702,katan=do,19,katando
180002,181347,di=ja katjan=do,20,dija katjando
201437,203310,katjan=do,21,katjando
203685,205815,kati butan=do,22,kati butando
221003,223838,kaginta=ba di=ja,23,kagintaba dija
226502,227992,katjan=do<=te=ga itta>,24,katjandoqtega qitta
248227,249915,katjaru munu=do,25,katjaru munudo
252836,254939,katjaru munu=do<=tte iu>,26,katjaru munudoqtte qiu
261021,262248,n kaganu,27,n kaganu
272078,273938,anu=ja kaganun=do,28,anuja kaganundo
310261,311661,kaganu,29,kaganu
311917,314634,unki=ja kaganutan=do,30,unkija kaganutando
315623,317535,kati buranun=do,31,kati buranundo
325269,326964,kaganun=do,32,kaganundo
327541,329116,kaganun=do,33,kaganundo
329509,331381,kati buranun=do,34,kati buranundo
332160,334230,kati minun=do,35,kati minundo
339736,343066,<kaitenai=jo=to iu toki=wa> katiminun=do<=to iu>,36,qkaitenaijoto qiu qtokiwa katiminundoqto qiu
347991,350424,kati buranun=do<=ttara>,37,kati buranundoqttara
354493,356062,katiminun=do,38,katiminundo
362744,364531,kati minun=do<=to iu>,39,kati minundoqto qiu
366381,368359,kati buranun=do<=to iu nan=to iutta>,40,kati buranundoqto qiu qnanto qiutta
372018,374840,a kati buranun=do<=ttara>,41,a kati buranundoqttara
409350,415205,kati buranun<=to iu mono=to> kati minun<=no cigai=desjo ima=ne>,42,kati buranunqto qiu qmonoto kati minunqno qcigaidesjo qimane
416457,418013,kati buranun,43,kati buranun
419062,420934,kati buranun<=ttara>,44,kati buranunqttara
427099,428616,kati minun,45,kati minun
438222,439310,kati minun,46,kati minun
442042,443401,kati minun,47,kati minun
443776,445379,kati buranun,48,kati buranun
445850,447221,kati buranun,49,kati buranun
457545,460209,<cigau=kara matte=jo> kati buranun,50,qcigaukara qmattejo kati buranun
469974,472103,kati buranun<=to iu imi=sa=ne>,51,kati buranunqto qiu qimisane
475117,478583,<de> kati minun<=to iu=na=wa zibun=ga=de nakute>,53,qde kati minunqto qiunawa qzibungade qnakute
483450,484677,kati minun,54,kati minun
508208,511182,uni=ja nun kati minun<=to=ka>,55,unija nun kati minunqtoka
512056,513520,nun kati minun,56,nun kati minun
536600,537892,kati minun,58,kati minun
539989,541915,kati minun<=to ittara>,59,kati minunqto qittara
563073,565038,n uni=ja nun kati minun,60,n unija nun kati minun
572376,573919,kaganutan,61,kaganutan
580110,581758,kaganutan n,62,kaganutan n
588609,591147,kaganutaru<=to iu toki=wa=ne>,63,kaganutaruqto qiu qtokiwane
599531,604068,kaganutan<=to iu=no=wa> (nda=nga kageniitanga?) kaganutan=do,64,kaganutanqto qiunowa ndanga kageniitanga kaganutando
613048,614722,kaganutaru=do,65,kaganutarudo
629868,631153,u kagi,66,u kagi
632340,632993,kagi,67,kagi
635653,636623,kagi,68,kagi
641835,643549,u kagi,69,u kagi
645765,647056,u kagi,70,u kagi
657698,660309,di di kagi,71,di di kagi
666711,668181,di kagi=jo,72,di kagijo
668224,669536,di kagi,73,di kagi
680696,681906,kagi,74,kagi
706510,708218,di kagi<=wa ieru>,77,di kagiqwa qieru
721230,722648,hajagu kagi,78,hajagu kagi
736504,737922,kagunna,79,kagunna
738743,740009,kagunna,80,kagunna
745956,747123,kagunna,81,kagunna
767084,770763,tigami=du katiti ugaru,82,tigamidu katiti ugaru
818353,821953,n tigami=du katiti ugaru(=mo?),87,n tigamidu katiti ugarumo
901767,902941,tigami=du,94,tigamidu
914302,916517,tigami=du katiti ugaru,95,tigamidu katiti ugaru
919013,920616,katiti ugaru,96,katiti ugaru
926915,928531,kati busa=daru,97,kati busadaru
931449,933149,kati busa=du aru,98,kati busadu aru
944605,946148,kati busa=du aru,100,kati busadu aru
959281,961312,katitan=do <kaita=jo>,101,katitando qkaitajo
977637,978896,nindun,102,nindun
1004462,1007363,nindu nindu ttu,103,nindu nindu ttu
1058349,1059754,nindi buru ttu,104,nindi buru ttu
1061399,1063179,nindu buru ttu,105,nindu buru ttu
1096946,1098463,kindun,109,kindun
1098548,1100849,kindun<=to iu> kindun,110,kindunqto qiu kindun
1111708,1113370,n unti kindun,112,n unti kindun
1116662,1118918,unu unti=ja maisan=suja,113,unu untija maisansuja
1126685,1128742,unti=ja maisan=suja,114,untija maisansuja
1135750,1137425,maisan=suja,115,maisansuja
1148896,1149944,tubun,116,tubun
1152321,1154154,(tubi hiru) tubun,117,tubi hiru tubun
1158473,1159331,tubun,118,tubun
1174970,1176507,tubi hiru,119,tubi hiru
1176833,1178158,tubi hirun,120,tubi hirun
1179012,1180087,tubi hirun,121,tubi hirun
1180209,1181626,kanu hatu=ja,122,kanu hatuja
1183370,1185128,hatu=nga tubi hirun=suja,123,hatunga tubi hirunsuja
1185304,1186293,tubi hirun,124,tubi hirun
1188357,1189735,tubi hirun=suja,125,tubi hirunsuja
1202009,1204897,hatu=nga tubi hirun=suja,126,hatunga tubi hirunsuja
1204957,1207581,hatu bu=nga tubi bun=suja,127,hatu bunga tubi bunsuja
1208320,1209296,tubi,128,tubi
1212771,1215046,hatu=nga tubi bun=suja,129,hatunga tubi bunsuja
1217423,1219361,hatu=nga tubi bun=suja,131,hatunga tubi bunsuja
1241452,1243022,kati bun=suja,133,kati bunsuja
1247597,1249905,<are=wa> tubi bun=suja,134,qarewa tubi bunsuja
1251521,1253340,tubi bun=suja<=to>,135,tubi bunsujaqto
1254309,1256063,kati bun=suja,136,kati bunsuja
1256294,1257989,tubi bun=suja,137,tubi bunsuja
1275801,1278280,unu hatu=ja maisan=suja,138,unu hatuja maisansuja
1279911,1281665,maisan=suja,139,maisansuja
1283637,1286069,unu hatu=ja maisan=suja<=to>,140,unu hatuja maisansujaqto
1290484,1292620,unu hatu=ja maisan=suja,141,unu hatuja maisansuja
1328729,1330950,unu=ja maisan=suja,143,unuja maisansuja
1347213,1349422,unu hatu=ja maisan=suja,144,unu hatuja maisansuja
1404321,1405917,kati bun=suja,149,kati bunsuja
1412866,1414680,kati bun=suja,150,kati bunsuja
1418338,1421062,<ano toki=ne> kati bun=suja<=to=ga=iu>,151,qano qtokine kati bunsujaqtogaiu
1434767,1436553,tubi bun=suja,153,tubi bunsuja
1466141,1467348,kati bun=suja,154,kati bunsuja
1506241,1509182,tubi bun=suja unu hatu=ja tubi bun=suja,156,tubi bunsuja unu hatuja tubi bunsuja
1511431,1513093,kati bun=suja,157,kati bunsuja
1522957,1524460,kati bun=suja,158,kati bunsuja
1524592,1526933,e di kati bun=suja<=to iu>,159,e di kati bunsujaqto qiu
1559355,1560786,nni=du buru,160,nnidu buru
1565407,1567985,min uti=du buru<=to=mo iu=sa=ne>,162,min utidu buruqtomo qiusane
1578703,1580384,min uti=du buru,164,min utidu buru
1595249,1596739,nni=du buru,166,nnidu buru
1600775,1602470,nni=du buru<=ttara>,168,nnidu buruqttara
1613121,1614407,nni buru,169,nni buru
1614786,1617978,nni buru<=to ittara nite iru=to=iu kotoba=ni naru>,170,nni buruqto qittara qnite qirutoiu qkotobani qnaru
1618921,1621367,sinderu tok=wa nni=du buru,171,sinderu tokwa nnidu buru
1622432,1623758,nni=du buru,172,nnidu buru
1627565,1629115,nni=du buru,173,nnidu buru
1630599,1635157,nni=du buru<=to ittara are ano hito=to nite iru>,174,nnidu buruqto qittara qare qano qhitoto qnite qiru
1664256,1669841,nni=du buru nni=du buru unu ttu=ja ma nni=du buru,175,nnidu buru nnidu buru unu ttuja ma nnidu buru
1670823,1672775,nni=du buru<=to>,176,nnidu buruqto
1678586,1680065,nni=du buru,177,nnidu buru
1680077,1683545,min uti=du buru min uti=du buru,178,min utidu buru min utidu buru
1684798,1687851,min min uti=du buru,179,min min utidu buru
1690946,1692443,nni=du buru,180,nnidu buru
1693897,1695083,unu ttu=ja,181,unu ttuja
1696680,1698889,n n nni=du buru,182,n n nnidu buru
1709033,1710641,kati=du buru,183,katidu buru
1716431,1719661,kati=du buru nni=du buru,184,katidu buru nnidu buru
1728622,1730060,kati=du buru,185,katidu buru
1763979,1765324,tubi=du buru,186,tubidu buru
1770816,1773770,tubi=du bun=suja unu hatu=ti=ja<=to iu>,187,tubidu bunsuja unu hatutijaqto qiu
1782299,1785392,kati=du buru kati=du buru,188,katidu buru katidu buru
1790399,1793307,di=du kati buru kati=du buru,189,didu kati buru katidu buru
1801167,1803115,nindi=du buru,190,nindidu buru
1807944,1809393,nindi=du buru,191,nindidu buru
1811226,1813392,nindi=du buru<=???>,192,nindidu buru<>
1821232,1823281,min uti=du buru,193,min utidu buru
1826770,1828404,min uti=du buru,194,min utidu buru
1845137,1846715,nindi=du buru,196,nindidu buru
1866010,1867940,kati=du buru,197,katidu buru
1889092,1892554,<niteru koto nni> nni=du buru,198,qniteru qkoto qnni nnidu buru
1899254,1900704,nni=du buru,199,nnidu buru
1923499,1925041,nni=du buru,200,nnidu buru
1925092,1926272,nni=du buru,201,nnidu buru
1937570,1938943,n ndun,202,n ndun
1961087,1962612,ndi bun=do,203,ndi bundo
1968047,1971831,ndi bun... unu ttu=ja ndi bun=do<=to>,204,ndi bun unu ttuja ndi bundoqto
1973752,1975176,ndi=du buru<=to=ka>,205,ndidu buruqtoka
1977291,1979732,ndi=du buru<=to iu=no=ga=ne>,206,ndidu buruqto qiunogane
1981124,1982538,ndi bun=do,207,ndi bundo
1982689,1987174,munui=du buru=do <ano toki=ni=wa> munui=du buru=do<=to iu=wake=sa>,208,munuidu burudo qano qtokiniwa munuidu burudoqto qiuwakesa
1990469,1992564,munui=du buru=do,209,munuidu burudo
2002855,2004950,ndi=du buru=do,210,ndidu burudo
2014977,2016756,ndi=du buru=do,211,ndidu burudo
2020402,2021937,ndi=du buru,212,ndidu buru
2023193,2024586,ndi=du buru,213,ndidu buru
2033255,2034689,ndi buru,214,ndi buru
2037745,2039026,ndi buru,215,ndi buru
2039290,2042463,unu ttu=ja munu=du ndi buru,216,unu ttuja munudu ndi buru
2050140,2051900,ndi bun=suja,217,ndi bunsuja
2061042,2061835,kun,218,kun
2062556,2063329,kun,219,kun
2074901,2076488,kai=du buru,220,kaidu buru
2077758,2080006,kun=ndi=du isi buru,221,kunndidu isi buru
2080682,2082431,kai=du buru,222,kaidu buru
2098794,2100319,kai bun=suja,223,kai bunsuja
