Begin Time - msec,End Time - msec,YS_Transcription-txt-rys
1662516,1664946,<sjukudai> isjaru ttu=ja ti angi nni
1669947,1672857,ti angiri=jo <ano toki=ni=wa meeree=dattara>
1672962,1675322,<sjukudai> isjaru ttu=ja ti angiri=jo
1698052,1701262,nai nni buru <terebi=nu>
1705667,1707227,nu=ba aru=kaja=je
1725917,1726707,dubi
1727552,1728592,dubi
1729662,1730372,dubi
1740077,1744317,dubi nni butaru <terebi>=nu <banggumi>=ja nu=ba ata=kaja=je
1753597,1755057,nu=ba ata=kaja=je
1796937,1801007,dubi nnitaru <terebi banggumi>=ja nu=ba ata=kaja=je<=to=ga itteru=nde>
1804182,1805202,xxx
1805502,1809132,dubi nnitaru <terebi banggumi>=ja nu=ba ata=kaja=je
1815627,1820387,n dubi nnjaru <terebi banggumi>=ja nu=ba ata=kaja=je
1845007,1845847,ku ttu=ja
1847757,1849347,ata uma=nki ku ttu=ja
1852022,1855602,ta=ba ai aru=kaja=je ta=ba ai aru=kaja=je
1857462,1859292,ta=ba ai aru=kaja=je
1865227,1867217,ta=ba aru=kaja=je<=de=mo ii=jo>
1867762,1870892,ata umi=nki waru ttu=ja ta=ba aru=kaja=je
1880257,1883177,umi=nki waru ttu=ja ta=ba ai aru=kaja=je
1888827,1890717,ata waru ttu=ja<=mo>
1893422,1896512,ata waru ttu=ja ta=ba ai aru=kaja=je
1900547,1901597,ai waru
1902712,1904772,ai waru=kaja=je
1929482,1932652,nnu uma=nki wai sutaru ttu=ja
1934517,1937167,ta=ba ai ata=kaja=je
1941434,1942964,wai sutaru ttu=ja
1944949,1947139,ta=ba ai ata=kaja=je
1950514,1952044,wata=kaja=je
1971169,1974049,nnu uma=nki sutaru ttu=ja ta=ba ata=kaja=je
1976049,1978989,nnu uma=nki sutaru ttu=ja ta=ba ata=kaja=je
1982189,1983639,ta=ba ata=kaja=je
1992924,1994014,sutaru ttu=ja
2009099,2011189,unu ttu=bain sutan=do
2026394,2028394,uni atantin nsa=na
2029174,2031164,uni atantin nsa=na
2033249,2034129,nsa=na
2047109,2048979,tidan tui bun=suja (ma)
2053633,2055164,tidan=ti bun=suja<=to>
2064368,2065898,xxx
2067483,2069753,<tinki> duttu=ni naisun=suja
