Begin Time - msec,End Time - msec,Yonaguni
3194583,3195873,nma=nu hura
3198928,3200718,nma=nu hura
3211423,3214638,nma=nu hura=du kai suru=du
3230443,3235163,<sookoo>=nki nni=ju (tugi)=jo<=to=ka soo are=dakara>
3235313,3238503,<sookoo>=nki nni=ju (tugi)=jo
3239843,3240677,nni
3261410,3263440,xxx
3264645,3267305,xxx
3275935,3278035,juri=nu hana=nga sati bun=do
3289305,3291155,hanaburu<=made tsukeru>
3292050,3293140,xxx
3295655,3296795,hanaburu
3445005,3448495,xxx
3494730,3495730,iju=du
3502000,3503660,kkuiha=ndagi=jo
3503840,3505390,kkui=ndagi=jo
3510705,3512275,kkui=ndagi=jo<=to>
3529630,3530850,ubun
3536850,3538600,ubun muti ku=jo
3541395,3543505,muti si turai=jo<=to=ka>
3543770,3545650,muti ku<=to ittara>
3548120,3550600,muti si turai<=to ittara>
3556710,3560160,turai=jo<=de> turai wari=jo<=to=mo iu>
3572725,3577745,inu inu inu=nu ki=nga ami=nki nggai=du buru=do
3579675,3581895,ami=nki nggai buru=do
3593595,3597295,<nureru=wa> nggai=du buru=do ngai=du buru
3604254,3605754,nggai=du buru=do
3614520,3615890,nggarun=do
3635905,3638225,ci=nga saman=do
3640115,3642255,ci samai=du buru=do<=to iu>
3654085,3656725,ci kjasjan=do
3657705,3659095,kjasjan=do
3668440,3673280,ci kjasi <kono toki=wa> ci kjasi turasi wari=jo
3688320,3689860,samasjan=do
3691690,3692870,xxx
3694140,3695380,saman=do
3700755,3702365,xxx
3716710,3718430,n kjan=do
3718610,3721570,n kjan=do kjan kjan <are>
3721620,3722950,kjan=do<=ttara>
3728525,3730285,(ki...) kjasjan=do
3745275,3746415,kjan=do
3755185,3756855,kjasjan=do<=to ittara>
3760780,3762760,kjan=do<=to iu toki=wa>
3779680,3782345,kjan=do<=ttara>
3801002,3802782,haci batarun=do
3818572,3820322,<kocci=wa=jo> haci
3820517,3821357,haci
3821897,3823567,<are=wa> haci
3838564,3839794,unu ttu=ja
3840759,3842969,haci=ti=ni=du ntui bun=suja
3844764,3847954,haci=ti=ni=du haci=ni=du ntui bun=suja
3848109,3850129,haci=ni=du ntui bun=suja
3869214,3871774,haci=du an=gara nma=nki nturi<=to=ka=jo>
3873584,3874674,haci
3874849,3878299,haci=du an=gara nma=nki=du ntunna=jo<=to>
3879644,3881504,nma=nki=ja ntunna=jo
3884434,3885894,nma=nki=ja
3886484,3888484,nma=nki=ja ntunna=jo
3896594,3898294,nma=ja haci=du an=gara
3899094,3900244,haci=nki=ja
3901969,3904349,haci=nki=ja ntunna=jo
3906989,3908209,ntunna=jo
3915194,3916714,haci=du an=gara
3936854,3938074,haci
3938444,3939374,haci
3941304,3942714,haci=kai
3943249,3945429,haci=du ntuni=kai=jo
3948069,3950139,haci duttu=ni kkai=jo
3951374,3952314,xxx
3956826,3961246,haci haci duttu=ni kkai=jo
3974056,3976066,mi maisan=suja
3985251,3987581,ha dami=du ki bun=suja
3989236,3990716,dami=du ki bun=suja
3992416,3993536,xxx
4007216,4011026,uci=nga tsa hai bun=suja
4032431,4034311,ttu=nga si bun=do
4053231,4056441,unnaga=nu unnaga=nu
4064896,4066826,unnaga=nu
4067606,4069826,unnaga=nu
4075816,4078396,unnaga=nu mi=nga abjan=do
4080476,4082486,unnaga=nu unnaga
4083691,4084971,abjan=do
4111971,4114781,usu-min<=to=ga iu=kara> unnaga=nu min<=wa>
4115766,4117426,usu=nu min<=te iu=wake=sa>
4119316,4120786,usu<=to itte>
4124761,4129140,<umi=no mizu itta=jo> usu=no min<=to> usu<=to=ga iu=wake>
4137440,4145435,xxx
4152375,4153955,n <soo soo> usu
4155805,4157615,usu kai ku=jo<=to iu>
4168340,4171720,unnankiru basu=ni usu kai si turai=jo
4212200,4214230,<iro=ja> abja=nga=je<=to=wa>
4234115,4236555,xxx
4244566,4245655,xxx
4252425,4254975,kagi=nki udurutitan=do
4257498,4259098,uduruttan=do
4261609,4263175,udurutitan=do
4264303,4266069,udurutitan=do
4266197,4268074,xxx
4287879,4289023,ciruci
4291139,4292628,ciruci<=to=ga iu>
4301360,4305138,kunu ciruci=ja nun=ndi=nu imi=kaja=je
4306693,4309226,nun=ndi=nu imi=kaja=je
4312659,4313981,imi=kaja=je
4333564,4337056,nkadi=nga da=nu naga=nki hai si bun=suja
4338810,4340976,da=nu naga=nki hai sun
4351604,4353093,dubi=ja
4353781,4356214,dubi=ja sagi
4361376,4363109,dubi=ja sagi
4364942,4366486,numitan=do
4374425,4377569,dugu=nu sagi=ja ara numatan=do<=to=ka=ne>
4391569,4392591,kugani
4393257,4394357,kugani <kore=wa>
4415008,4416708,ja kugani=si=du
4418091,4420102,kugani=si=du kkurari bun=do
4423140,4424151,kkurari buru
4559733,4560833,xxx
4566194,4567960,tagara mikkjan=do
4588016,4589760,tagara dungu<=to iu=sa>
4599221,4600599,tagara dungu
4633421,4635243,cimu dami naranu
4637265,4638843,cimu cimu
4675609,4677598,araagu dami=du kirun=suja
4680458,4681736,dami=du kiru
