Begin Time - msec,End Time - msec,YS_Transcription-txt-rys
78460,80040,masa-gisaru munu
107590,109050,maaminu munu
112180,114040,ciruma ciru
116480,117260,ciruma
119050,120790,ciruma-cjan<=to=ga iu>
251550,255020,cirumanu hai-munu cirumanu
255925,258125,cirumanu hai-munu
272385,273205,ciruman
275025,276975,cirumaru kutu <mata>
292330,295290,cirumaru hai-munu
298560,301565,ciramaru (tai?) hai-munu=du an=suja=je
312645,314251,cirumanu hai-munu
314687,316847,ujasi wata=na
319804,325166,n <jooroppa>=nki (iti=ti?) ciruma=nu hai-munu ujasi wata=na
345332,346759,xxx
348270,352168,ciruma=nu hai-munu ujasi (w ai nnu)=na wai nnu=na
376596,379817,<inosisi>-nta=n ciruma=d.ataru=do
396450,399840,<inosisi>-ntan ciruma=du ataru=do
409211,411305,<inosisi>-ntan hai nnun=do
412051,413870,<inosisi>-ntan hai nnun=do
418482,419797,<inosisi>-ntan
430793,432775,a nun=di=ba buta=nga
439243,440840,maatan=do
442653,443949,matan=do
469794,472163,<jooroppa> nu=nni=ba buta-nga <hai hai>
502686,504459,nu=ba ujasi wata=nga
505829,507361,xxx
517241,518347,wata=nga
522426,523872,wata wata
525452,527507,xxx
533146,535397,nu=ba ujasi wata=nga <dakara>
535560,537929,<inosisi>-ntan hai nnun=do
550838,552061,tsa=d.ataru
554007,554452,tsa
555132,556421,tsa=du ataru
561959,563104,xxx
563761,568473,xxx
569016,570246,tsa=du ataru
572445,573838,tsari=du butaru<=ttara>
579285,580410,tsari=du butaru
601053,602127,kunu sunguti <hai>
611143,612445,dumi nnu=na
618873,621020,kunu sunguti dumi nnu=na
633981,635434,xxx
642251,643723,umutsatan=do
644852,646154,umutsatan=do
661036,662456,dumi nnanun=do
663716,666445,kunu sunguti dumi nnu=na<=ttara>
668123,669385,dumi nnanun=do
674937,676383,dumi nnanu=nga
682831,686888,dumi dumi nnanu=nga dumi busa=nga=je
726186,729641,anu=ja unu <hon> dumi nnanu=nga
730799,732342,dumi busa=nga=je
749860,751210,umutsan=do
771665,772745,umutsan=do
783915,785215,umutsan=do
785555,787965,xxx
819980,822980,habu-zagi ujasi wai nnu=na
830280,831550,numi nnanun
841125,845015,m numi busa=nga <ano toki=wa> numi busa=nga=je
852480,855230,numi busa=nga=je numi busa=nga=je<=to iu>
867855,870875,numi busa=nga=je<=to sitsu watasi=wa>
871115,874975,<ano sitsumon mitai=ni> numi busa=nga=je<=to=ga=iu dessjoo aite=ni>
880625,882235,numi busa=nga=je
902900,904530,numi busa=du aru=na
911105,913055,numi busa=du aru=na
914170,916680,habu-zagi numi busa=du aru=na
925925,928215,habu-zagi numi busa=du aru=na
944020,946860,habu-zagi ujasi wai busa=nga
951074,953054,numi busa=du a=nga=je
954524,956414,numi busa=du a=nga=je
965669,967299,xxx
974904,976754,xxx
980859,982319,nu=nni=ba buta=nga
985799,987169,maatan=do
994014,995764,tsa=du ataru=do<=to=ka>
1004709,1006269,tsa=du ataru=do
1023399,1025999,misa=du ataru=do<=to iu=kedo>
1030299,1031859,misa<=to ittara>
1042379,1044629,<oisikunai=to> misa<=to iu=sa=ne>
1045604,1053284,<kedo nomimono=no baai=wa> misa=du ataru<=to iu=no=wa amari tsukawanai=ne>
