Begin Time - msec,End Time - msec,YS_Transcription-txt-rys
1514693,1519564,maci maci=na macjaru=ni
1519628,1522199,uni=nu ttu=ba macja=nga
1544383,1546640,nu=ba maci=ja <ano toki=ni=wa>
1547254,1548825,xxx
1550296,1551710,nu=ba maci=ja
1558300,1559700,nu=ba maci=ja
1565240,1567860,nu=ba maci=du a=nga
1571070,1575530,nu=ba maci=du a=nga matsu matsu=du <tsukaeru=kara=jo>
1579580,1581600,nu=ba maci a=nga
1595750,1597270,nu=ba maci=ja
1603250,1604970,maci a=nga<=to>
1624910,1627840,u=tu karu=tu nu=ba maci=ja <=to=wa tsukau=sa=ne>
1629190,1630650,nu=ba maci a=nga
1641185,1643975,u=tu ku=tu u=tu ku=tu
1644815,1646955,u=tu ku=tu nu=ba maci=ja
1651165,1652625,u=tu ku=tu
1654115,1655275,nu=ba maci=ja
1662775,1664155,nu a-tan=ti=n nsan
1691045,1696585,uma=di <mijara>=nki=ta aiti hirun=suja djari=da=nga=je
1698755,1700135,<mijara>=nki
1701215,1702935,aiti hirun=suja
1705115,1706255,djaru=du
1707925,1709545,xxx
1712915,1714815,djari=du a=nga=je
1725865,1726765,uma=di
1731215,1732195,uma=di
1736505,1737345,uma=di
1767125,1768325,kiru=ndi=ja
1782805,1788225,hiru=ndi=ja uma=di <mijara>=nki hiru=ndi=ja
1799075,1800355,xxx
1804035,1806495,xxx
1816495,1817935,xxx
1821355,1822735,xxx
1828385,1830985,xxx
1844725,1846705,xxx
1863715,1866315,xxx
1874360,1875815,xxx
1884040,1885940,xxx
1914450,1916210,u=ja ta=nga=du hanuta=nga
1919170,1922450,ku=ja (ta=nga...) ta=nga=ba hanuta=kaja=je
1928630,1930110,xxx
1945990,1948230,hanun=suja ta=ba ata=kaja=je
1949830,1951410,ta=ba ata=kaja=je
1984840,1985860,dai<=to=ga ita>
1999190,2000810,ta=ba ata=kaja=je<=ne>
2001300,2003940,atta dai=nki hiranun=suja
2004140,2006020,xxx
2008640,2009500,ta=ba
2010570,2012810,ta=ba ata=kaja=je
2025970,2027450,xxx
2037590,2040070,hanun=su=ja ta=ba ata=kaja=je
2040470,2043650,hanutan=su=ja ta=ba ata=kaja=je<=to=wa tsukau=sa=ne>
2058650,2061270,hiranu=ndi ndun=suja
2063620,2069280,ata dai=nki hiranu=ndi ndun=su=ja=ju<=no=wa=wo ieta hoo=ga ii=ne>
2071850,2073050,ndun=suja
2095030,2100810,maru munu=ja umi aru munu=nu naga=ni maru munu=ja nu=kaja=je
2117140,2118280,man=suja
2120250,2121330,nu=ba
2130150,2131650,nu=ba mata=nga
2132200,2134220,man=suja nu=ba ata=nga
2148290,2150970,<iciban> matan=su=ja nu=ba ata=nga
2161410,2164170,<iciban> matan=suja nu=ba ata=nga
2175650,2179190,<iciban> tagan=su=ja ta=ba ata=nga
2194600,2195600,misaru munu=ja
2199780,2200880,misaru munu=tu
2217570,2220650,<iciban> ma-minun=su=ja nu=ba ata=nga
2242410,2244210,atsa=du arun=ggara
2245890,2248310,<kuuraa> tumini<=to=ka>
2255580,2257460,<kuuraa> susagu isi turai
2262980,2264000,susagu
2265170,2266610,susa<=tte iu=ka=jo>
2268490,2269770,daagu isi turai
2272010,2273210,daaru
2289270,2290810,susa=du arun=ggara
2291625,2292425,hisa
2294360,2295570,hisa<=to=ga iu>
2298665,2300225,daagu isi turai
2304125,2306925,<jowameru=to iu imi=jo> daagu<=tte iu=no=wa>
2325325,2326865,atsa=darun=ggara
2347315,2348235,atsata=ba
2385815,2387355,n atsatan=ggara
2418385,2420265,i hamitan=do
2423925,2426885,uja=nga angami=nki
2430425,2432005,i hamitan=do
2435995,2437815,hami butan=do<=de=mo iu=sa=ne>
2474595,2476555,<jee> hai=ndi ntan=do<=de=wa>
2504535,2505715,hamitan=do
2534665,2537045,suda=nga nindi buta=ba
2537835,2539275,ugutan=do
2542435,2546295,suda<=ttara neesan=no koto> suda<=to iu=sa>
2549065,2551285,<are=wo> ubuda naguda<=to>
2553115,2555115,naguda=nga nindi buta=ba
2559475,2560815,atinga<=to=ka>
2570205,2572325,ubuda naguda
2572685,2574105,nagudati
2576495,2578575,ubuda naguda
2579475,2582075,<neesan> ubani nangani<=tte iu=wake=jo>
2590095,2591315,nangani
2594445,2596405,nangani
2596585,2598065,ubuati
2599545,2600865,ubuati
2605145,2608245,ubani nangani nanganiti
2611955,2613195,ubuati
2624998,2626998,ubuda naguda
2628298,2629438,nagudati
2634628,2637588,ijati<=to=ga iu moo are=to=wa=ne>
2645808,2647468,ubuda
2648378,2651278,ubuda naguda
2651688,2653328,nagudati
2654308,2655568,ijati
2656838,2658578,xxx
2667508,2670428,suda=du suda ututu
2673808,2674908,suda
2675898,2678298,<sita=wa> ututu<=to iu=wake>
2683518,2687638,a kanu ttu=ja suda=du anu (kani?) suda unu ttu=ja ututu=do<=to iu=sa=ne>
2704698,2705858,ndi buta=ba
2709418,2710438,ugutaru
2719288,2720908,ugui ugui
2727898,2730378,nai=gara ugun=do
2731738,2732658,ugun=do
2738418,2739398,ugaminun
2749048,2751708,xxx
2756118,2758338,ugaminun nai=gara kanu ttu
2758468,2760980,ugaminun=do<=to iu=kedo amari tsukawanai=jo>
2774340,2778260,abuta=nga angami ninsimi=du buru=do
2779840,2781520,ninsimi=du buru
2783460,2786580,ninsimi=du buru=nggara ttun munu=na=jo
2788740,2790140,ttun munu=na=jo<=te iu=no=wa>
2793320,2795580,ttun munu=na=jo
2797153,2797833,munu
2797853,2799033,munu=na=jo
2802923,2804743,xxx
2815933,2818773,ttun munu=na=jo munu 
2819013,2820213,xxx
2838034,2841174,kacimasa=du aru=nggara ninsimiri
2843734,2844634,aru=nggara
2845624,2846844,ninsimiri
2865126,2871366,uja=nga angami=nki <binkjoo> kimi buru=do
2883086,2886566,kimitan=do uja=nga <binkjoo> kimitan=do
2887206,2890106,uja=nga angamiti <binkjoo> kimitan=do
2907696,2912536,uja=nga uma=nki darasjaru=do
2916156,2917436,darasjaru=do
2924216,2925536,darasjaru=do
2930376,2931676,daratan=do
2940026,2941806,daratan=do
2942656,2945416,xxx
2945896,2949056,xxx
2949316,2951176,xxx
2958006,2959546,xxx
2967496,2970476,nai nma=nki darataru<=mo tsukaeru>
2980166,2982426,ata nma=nki kuraminun=do
2983216,2986816,ata nma=nki kuraminun=do
2995916,2996756,nnu
2999856,3001196,kuramitan=do
3007706,3009066,kuramitan=do
3024606,3025906,xxx
3037316,3041376,ata kama=nki daran=do
3057246,3060486,<terebi>=du nsimirun=do
3061906,3064286,xxx
3080176,3082336,xxx
3086656,3088656,kanu ttu=nki=n nsimitan=do
3092056,3094516,kami buru ttu=nki nsimitan=do<=to=ka>
3094846,3096506,kari=nki nsimitan=do
3099556,3103956,anu=ja nni busaminu=nga kari=nki nsimitan=do
3140076,3141836,anu matamitan=do
3143276,3144896,anu matamitan=je
3163606,3166846,<terebi>=nga dandi buta=ba
3168066,3170066,xxx
3173506,3176386,a nusi turatan=do<=tte=mo iu=si>
3179086,3180966,n nusi turatan=do
3181766,3183666,(nna...) nnamitan=do
3191936,3193896,nusi turatan=do
3194076,3195636,xxx
3215036,3219326,maasiku ttami turasi waiti araagu hugarasa
