Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
35120,39520,<jooroppa>=nki hitaru kutu aru=kaja=je,1,qjooroppanki hitaru kutu arukajaje
41660,42810,hitaru kutu,2,hitaru kutu
49730,51850,hitaru kutu a=na<=to=mo iu=sa=ne>,4,hitaru kutu anaqtomo qiusane
55488,58708,hitaru kutu a=na<=to ittara hutsuu=no kotoba>,5,hitaru kutu anaqto qittara qhutsuuno qkotoba
70218,71958,o (i) hi nnun=do,6,o i hi nnundo
75368,76418,hi nnun=do,7,hi nnundo
79603,81033,hi nnun=do,8,hi nnundo
92483,93943,hitaru kutu an=do,9,hitaru kutu ando
112083,113513,hita kutu an=do,10,hita kutu ando
122058,123688,hitaru kutu an=do,11,hitaru kutu ando
156438,157778,hi nnun=do,13,hi nnundo
168188,170708,hi nni waru=kaja=je<=to=wa=ne>,14,hi nni warukajajeqtowane
176038,178998,hi nni waru=kaja=je<=to iu=no=wa>,15,hi nni warukajajeqto qiunowa
179118,182248,hi nni waru=kaja=je<=tte>,16,hi nni warukajajeqtte
188863,191633,<joroppa>=nki wai nnu=na,17,qjoroppanki wai nnuna
191758,193318,hi nnu=na<=de>,18,hi nnunaqde
199508,200818,wai nnu=na,20,wai nnuna
233318,235418,nn hi nnanun,22,nn hi nnanun
237228,238298,n hi nnanun,23,n hi nnanun
255081,257821,nn anu=ja hi nnan=do,24,nn anuja hi nnando
259491,261141,anu=ja hi nnan=do,25,anuja hi nnando
396511,399741,o hi nnun=do nu=ni=ba buta=nga,35,o hi nnundo nuniba butanga
408866,409976,nuniba,36,nuniba
435076,436986,nuniba,38,nuniba
438831,440131,nuniba,39,nuniba
447170,450950,nuniba umui wararita=nga,41,nuniba umui wararitanga
451410,453940,nuniba umui wararita=nga,42,nuniba umui wararitanga
535783,537813,kaabi=du bun=suja<=tte iu=no=wa>,45,kaabidu bunsujaqtte qiunowa
548608,550718,kabai=du bun=suja,46,kabaidu bunsuja
551743,554423,unu haimunu=ja kabai=du bun=suja,47,unu haimunuja kabaidu bunsuja
557863,559153,unu cidu=ja,48,unu ciduja
560463,562183,kabai=du bun=suja,49,kabaidu bunsuja
563043,565373,kabai=du bun=suja<=no igai=ni aru>,50,kabaidu bunsujaqno qigaini qaru
578708,581108,maaru-munu misaru-munu<=de=ga>,51,maarumunu misarumunuqdega
584998,587148,maaru-munu<=ttara oisii mono>,52,maarumunuqttara qoisii qmono
591653,593383,misa=du an=suja,53,misadu ansuja
595278,596808,misa=du an=suja,54,misadu ansuja
601146,602726,misa=du an=suja,55,misadu ansuja
631076,632566,misa-gisan=suja,56,misagisansuja
636776,639106,misa=du an=suja<=wa>,59,misadu ansujaqwa
639421,643061,<tabeta koto=no aru mono> misa-gisan=suja<=tte iu=no=wa>,60,qtabeta qkotono qaru qmono misagisansujaqtte qiunowa
660821,663741,misa-gisa=du an=suja<=de nai=ka=na>,62,misagisadu ansujaqde qnaikana
664061,665701,misa-gisa=du an=suja,63,misagisadu ansuja
666051,667531,misa-gisa=du an=suja,64,misagisadu ansuja
696821,698211,maasan=suja,65,maasansuja
704176,705846,misa=du an=suja,66,misadu ansuja
752666,753826,isi turai,69,isi turai
842046,843396,naari huci,71,naari huci
850376,852116,naari huci<=to=ga=jo>,72,naari huciqtogajo
882636,883986,naari huci,75,naari huci
898851,901041,huci uti naari huci,77,huci uti naari huci
920271,921571,ami=nu mija,78,aminu mija
923341,924481,ami=nu mija,79,aminu mija
929486,930586,ami=nu mija,81,aminu mija
932066,934156,ami=nu mija,82,aminu mija
936201,937561,<soo> ami=nu mija,83,qsoo aminu mija
977631,978311,mija,85,mija
988451,989771,ami=nu mija,86,aminu mija
1016343,1018933,<dakara> ami=nu mija ami=nu mija,88,qdakara aminu mija aminu mija
1021463,1022653,ami=nu mija,89,aminu mija
1039418,1040748,misa=du aru munu,90,misadu aru munu
1290424,1293614,<e mazu zisin=wa> nai-dui<=to=iu=sa=ne>,104,qe qmazu qzisinwa naiduiqtoiusane
1296179,1297139,nai-dui,105,naidui
1297299,1298959,nai dui=du bun=suja<=ni>,106,nai duidu bunsujaqni
1336809,1337929,nai=duru,108,naiduru
1338049,1340009,nai-dui=du bun=sa<=tte=ga>,109,naiduidu bunsaqttega
1341949,1346149,nai-dui=du bun=suja nai-dui<=to=ga iu=kedo>,110,naiduidu bunsuja naiduiqtoga qiukedo
1356079,1357069,nai-dui,111,naidui
1437624,1438964,nai-dui,112,naidui
1704864,1707454,nnai di-nnai,113,nnai dinnai
1709989,1711039,nnai<=tte iu>,114,nnaiqtte qiu
1733079,1735339,<hutsuu=wa> nnai<=to iu=sa=ne>,117,qhutsuuwa nnaiqto qiusane
1738529,1739319,nnai,118,nnai
1795429,1796999,damatu=nu cima,122,damatunu cima
1876544,1877974,tumarun tumarun,123,tumarun tumarun
2038486,2040026,tugutu ki,128,tugutu ki
2045176,2046466,tugutu nai,129,tugutu nai
2048611,2049761,tugutu,130,tugutu
2051606,2053486,tugutu ki=du=jo tugutu,131,tugutu kidujo tugutu
2072921,2074311,tugutu nai,133,tugutu nai
2074756,2076216,tugunu nata,134,tugunu nata
2078696,2081086,tugutu nai tugutu nai,135,tugutu nai tugutu nai
2096902,2098402,ujabi=nki nurun,136,ujabinki nurun
2100662,2101642,nurun<=to=ne>,137,nurunqtone
2131862,2135012,o hi nnun=do,140,o hi nnundo
2168002,2170522,nun=di=ba umui wararita=nga=je,142,nundiba umui wararitangaje
2170722,2172732,nun=di=ba umui wata=nga,143,nundiba umui watanga
2183702,2186022,nun=di=ba umui wata=nga,145,nundiba umui watanga
2362879,2364414,e turasi wari=jo,148,e turasi warijo
2367270,2372766,nu=nni=nu kutuba ita=kaja=ndi dunan kutuba=si ndi turasi wari=jo,149,nunninu kutuba itakajandi dunan kutubasi ndi turasi warijo
2382008,2383458,ndi turasi,150,ndi turasi
2409243,2411373,ttami turasi warariru=na,151,ttami turasi warariruna
2412918,2414148,ttami turasi,152,ttami turasi
2430388,2432318,ttami turasi warariru=na,155,ttami turasi warariruna
2475148,2478858,<jooroppa>=nki iti=ti nu=bai=si wata=nga,158,qjooroppanki ititi nubaisi watanga
2688856,2692546,ici aru=ban <jooroppa>=nki hiru=ndi=du kanggai buru=do,163,ici aruban qjooroppanki hirundidu kanggai burudo
2703351,2704781,kanggai buru=do,165,kanggai burudo
