Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
1191487,1193197,nda dunan kutuba,117,nda dunan kutuba
1266647,1271257,nma=ni nma=nki <ano toki=wa> nma=nki hiru=ba <itta hoo=ga ii>,122,nmani nmanki qano qtokiwa nmanki hiruba qitta qhooga qii
1279142,1280852,nma=nki hiru=ba,123,nmanki hiruba
1285712,1287202,kariru=kaja=je,125,karirukajaje
1294477,1296047,kariru=kaja=je,126,karirukajaje
1335212,1338712,maasaru iju ui bu=kaja=je masaru iju,127,maasaru iju ui bukajaje masaru iju
1341552,1343302,maaru iju<=to=mo iu=jo>,128,maaru ijuqtomo qiujo
1351872,1354882,<dakedo> maasaru<=wa amari tsukawan=ja are=wa>,130,qdakedo maasaruqwa qamari qtsukawanja qarewa
1359154,1360524,maaru iju<=to=ga iu>,131,maaru ijuqtoga qiu
1382194,1383844,kariru=kaja=je,133,karirukajaje
1406959,1408749,nu=si=ba hiru=nga<=to iu imi=ka>,134,nusiba hirungaqto qiu qimika
1426624,1429844,nugu siti=ba <bjooin>=ki=ja hiru=nga,138,nugu sitiba qbjooinkija hirunga
1469214,1471944,nugu siti=ba <bjooin>=ki hirariru=nga,139,nugu sitiba qbjooinki hirarirunga
1510189,1514109,nugu si=ti=ba <bjooin>=ki hiru=kaja=ndi bagaru=na,140,nugu sitiba qbjooinki hirukajandi bagaruna
1544096,1548186,nugu si=ti=ba hiru=kaja=ndi bagai bu=na bagaru=kaja=je,143,nugu sitiba hirukajandi bagai buna bagarukajaje
1576546,1578676,atsa=tantin nindariru=na,146,atsatantin nindariruna
1621651,1623311,ata kurariru=na,150,ata kurariruna
1687011,1691090,ata uma=nki ku=ngga uma=ni waru=na <n kore tsukaeru=ne>,156,ata umanki kungga umani waruna qn qkore qtsukaerune
1716856,1718296,kama kuma kama,158,kama kuma kama
1719706,1721566,nda ata kami bu=na,159,nda ata kami buna
1724176,1725166,kami bu=na,160,kami buna
1728301,1729391,kami kami,161,kami kami
1740216,1743236,ata kama=nki warariru=na <n kore au=jo>,162,ata kamanki warariruna qn qkore qaujo
1750506,1752036,ata kami,163,ata kami
1752621,1758171,ata kami waru=na<=wa a ieru=kedo> ata kami waru=na,164,ata kami warunaqwa qa qierukedo ata kami waruna
1758796,1760406,ata kami waru=na,165,ata kami waruna
1764551,1766271,ata kama=nki hiru=na,166,ata kamanki hiruna
