Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
2556777,2561150,hima mi-nu-n=gara abat-i=du bur-u abat-i-ti is-i bur-u,136,hima minungara abatidu buru abatiti isi buru
2615250,2615964,tubar-u,138,tubaru
2663519,2664112,ku-mi,141,kumi
2672584,2674757,ku-mi <terebi> nni-n=dagi=jo,142,kumi qterebi nnindagijo
2696151,2697331,misi-ja=ni,143,misijani
2698089,2701056,misi-ja=ni <jasai> ka-i=du bur-u,144,misijani qjasai kaidu buru
2774417,2775590,cira ara-i,149,cira arai
2779139,2779512,cira,150,cira
2780562,2781935,cira ara-i b-u=na,151,cira arai buna
2796030,2797543,da=gara tu-nd-i hi-r-un,152,dagara tundi hirun
2802075,2803082,tu-nd-i hi-r-un,153,tundi hirun
2873895,2875021,min amir-i,154,min amiri
2898153,2899479,min amir-i=jo,156,min amirijo
2924919,2926292,dutu=ni tat-i=jo,159,dutuni tatijo
2975697,2976724,minaga=nu,160,minaganu
2977653,2978186,tsa,161,tsa
2981546,2981986,tsa,162,tsa
2991242,2992536,nud-i-n=dagi=jo,163,nudindagijo
3010784,3011530,nud-ir-u,164,nudiru
3033481,3034868,aitaras-i k-i=du bur-u,166,aitarasi kidu buru
3043756,3045416,aitaras-i k-i=du bur-u,168,aitarasi kidu buru
3048049,3049662,aitaras-i k-i=du bur-u,169,aitarasi kidu buru
3074116,3075916,aitaras-i=du k-i bur-u,171,aitarasidu ki buru
3094674,3096274,aitaras-i k-i=du bur-u,173,aitarasi kidu buru
3131639,3132593,mamuni,177,mamuni
3147965,3149151,mucikasa=du aru,178,mucikasadu aru
3179878,3181365,bata nt-i=du bur-u,181,bata ntidu buru
3215133,3216918,<ura=wa> mingadu<=to=ka=jo>,183,qurawa mingaduqtokajo
3220790,3221764,mingadu,184,mingadu
3241205,3242085,mingadu,187,mingadu
3300658,3302505,ttumuti nu=ba ki-ta=nga,191,ttumuti nuba kitanga
3306177,3308417,nda ttumuti nu=ba ki-ta=nga,192,nda ttumuti nuba kitanga
3340031,3341051,cira ara-ta=ru,194,cira arataru
3353030,3354343,cira=du ara-ta=ru,195,ciradu arataru
3374450,3375884,nu=ba k-i war-u=nga,196,nuba ki warunga
3375924,3376524,kir-u=nga,197,kirunga
3377786,3379387,su nu=ba kir-u=nga,198,su nuba kirunga
3385576,3387089,su nu=ba k-i war-u=nga,199,su nuba ki warunga
3420461,3421788,tubar-u=ndi=du is-i bur-u,202,tubarundidu isi buru
3424113,3425920,tubar-u=ndi=du is-i bur-u,203,tubarundidu isi buru
3431879,3434359,duci=tu tubar-u=ndi=du is-i bur-u,204,ducitu tubarundidu isi buru
3445154,3447201,duci=tu tuba-i=ti,205,ducitu tubaiti
3449408,3451061,duci=tu tuba-i=ti,206,ducitu tubaiti
3465069,3466602,<jeega>=du nn-u=do,207,qjeegadu nnudo
3475045,3476725,<jeega>=du nn-u=do,208,qjeegadu nnudo
3498213,3499226,nn-u-n=do,209,nnundo
3549782,3551142,<jeega>=du nn-i-n=dagi=jo,210,qjeegadu nnindagijo
3611936,3613149,cira ara-i=ti,214,cira araiti
3627960,3630187,cira ara-i=ti ha=bain=ja ara-n=do,216,cira araiti habainja arando
3641120,3643540,cira ara-i=ti ha=bagi=n ara-n=do,219,cira araiti habagin arando
3674079,3678090,cira ara-i=ti ha=bagi=n ara-n=do <m sono toki=mo ieru>,220,cira araiti habagin arando qm qsono qtokimo qieru
3707766,3710486,<zjuu-ichi-zi>=bagi=n nindir-u b-u-ta-ru,221,qzjuuichizibagin nindiru butaru
3717561,3719890,<zjuu-ichi-zi>=kuta nindir-u b-u-ta-ru=gai,222,qzjuuichizikuta nindiru butarugai
3728962,3731162,<zjuu-ichi-zi>=kuta nindir-u b-u-ta-ru,223,qzjuuichizikuta nindiru butaru
3739438,3741111,nindi=du b-u-ta-ru,224,nindidu butaru
3741713,3743193,nindi=du b-u-ta-ru,225,nindidu butaru
3798615,3800808,cira ara-i=ti ha=bai=n ara-n=do,226,cira araiti habain arando
3813886,3814946,cira ara-i=ti=gara,227,cira araitigara
3853554,3855706,i ha-i-ti=gara tu-nd-u-n=do <au=jo>,229,i haitigara tundundo qaujo
3866384,3867524,tu-nd-i hj-u-n=do,230,tundi hjundo
3872277,3874137,i ha-i-ti=gara tu-nd-i hj-u-n=do,231,i haitigara tundi hjundo
3910928,3913361,i ha-i-ti=gara tu-nd-i hi-r-i=jo,232,i haitigara tundi hirijo
