Begin Time - msec,End Time - msec,YS_Transcription-txt-rys
1542928,1544968,kiru=nni=du bu=nga=je
1552161,1556617,xxx
1558643,1561297,baari=du ki busa=nga=je
1561440,1562524,baari=du
1565152,1567747,baari=du ki bu=nga=je
1568478,1572282,xxx
1581505,1583085,baari=du buru=na
1587358,1589882,baari=du buru=na<=to=wa kiku=sa=ne>
1607507,1608913,unniru munu
1609312,1610259,isi gisan
1614491,1618828,kanu ttu=ja u isi gisa=dan=suja<=to=ka=wa tsukau=wake>
1621979,1623098,uniru munu
1633676,1636891,unu munu isi gisa=nga=je
1659968,1662494,kari=ja uti-ndagi=du aru=do<=to=ga iu ano toki=wa>
1663748,1665411,uti-ndagi=du aru=do
1668419,1671617,kanu ttu=ja uti-ndagi=du aru=do nai buti-ndagi=du aru=do<=to=ka>
1673776,1674887,uti-ndagi
1678505,1680012,xxx
1689370,1691970,uti-gisa=du (an...) uti-gisa
1693323,1695252,uti-gisa=du a=nga=je
1700609,1704762,uti-ndagi=du aru=do<=to iu=no=to> uti-gisa=daru=do<=to iu=no=wa>
1738299,1739695,uti-ndagi=du aru=do
1740155,1741680,uti-ngisa=daru=do
1789560,1792060,uti-ndagi=du aru=do<=to iu dessjoo>
1794300,1795650,uti-ndagi=du aru=do
1798865,1800485,uti-gisa=du aru=do
1822045,1823645,nu=nga=ba haja=nga
1825285,1827075,nu=nga haja=kaja=ndi=n
1829235,1831085,nu=nga haja=kaja=je
1837490,1838420,nu=nga
1838835,1841695,u=tu=tu nu=nga haja=kaja=je<=to=wa iu>
1843585,1844695,u=tu ku=tu
1846190,1848760,u=tu ku=tu nu=nga haja=kaja=je
1874135,1878595,mabin hajagu kaisi hiru=ndi nai buru
1881475,1882495,kaisi
1884200,1886000,kaisi hiru=ndi=du isi buru
1890713,1891248,mabin
1910390,1912450,mabin hajagu
1913360,1915120,kaisi hiru
1916110,1917780,kutu=nki=du nai buru
1919705,1921385,kutu=nki=du nai buru
1930395,1932565,xxx
1948080,1954045,<kankookjaku>=nga tta maisagu nai buru
1956205,1957625,maisagu nai buru
1971975,1974095,<kankjookjaku>=nga maisagu
1976405,1977895,nai hi buru
2008210,2012460,uni=nu kkui-gata narasi turasi wari
2013765,2017945,uni=nu kkui-gata narasi turasi wari
2019835,2020945,kkui-gata
2045590,2047290,unu ttu=nu ndi-gata=ja
2047590,2048560,hajan=do
2068205,2070285,<sikata>=nga minu=nga=je
2071145,2074025,<sikata>=nga minu=nga=je<=wa iu=ne>
2312995,2315825,tta atsagu nai=si=du ki bu=nga=je
2318160,2320570,atsagu nai=si=du kirun=suja
2322545,2324075,nai=du kirun=suja
2329900,2332460,tta atsagu nai=du kirun=suja
2347630,2349980,maisagu nai si bun=suja
2369485,2371325,atta hariru=ndi
2378905,2384825,<tenki-johoo>=si=ja atta harirun=do=ndi bun=suja
2387005,2388435,ndi bun=suja
2417120,2424620,unu ttu=nga ndu munu=tu kanu ttu=nga ndu munu=tu cigai=du kirun=suja<=to=ga iu>
2425890,2430930,unu ttu=nga ndu munu=tu kanu ttu=nga ndu munu=tu=ja cigai=du ki bun=suja<=to=ga iu>
2433710,2436860,kanu ttu=nga ndu munu=tu cigai=du kirun=suja
2439213,2440933,cigai=du kirun=suja
2498883,2505653,<hima>=nu basu=ni=ja <hon>=du <mitari> udi=ndi hi-tari irun
2515908,2520038,<hima>=nu basu=ni=ja sunguti=du <mitari>
2521053,2523580,<hon=wa> sunguti<=tte=ga iu=sa=ne>
2590913,2592733,nindi ambi=du buru
2594313,2596743,nindi ambi=du buru<=to=wa iu>
2601314,2603234,nindi ambi
2604451,2605481,#NAME?
2625156,2627166,ungu basu=ni=ja
2632070,2634680,ungu basu=ni ai=du buru
2637795,2639085,ai=du buru
2640990,2641580,ungu
2642745,2645275,ungu basu=n ai=du buru
2687250,2688810,nbaranbara
2690090,2691820,nbaranbara<=to=ga iu>
2692995,2694675,nbaranbara
2704045,2705355,nbaranbara
2709020,2710320,nbaranbara
2718920,2720150,<kore=wa> nbaranbara
2735425,2736685,nbaranbara
2741295,2742505,nbaranbara
2746020,2748260,nbaranbara dumi buru
2755790,2757270,nbaranbara
2764950,2766470,marikaiti
2787740,2790410,nbaranbara hi butan
2795355,2796735,marikaiti
2798565,2800845,(nda?) marikaiti=du sun=suja=ndi
2806245,2807575,marikaiti
2809310,2811470,marikaiti<=to iu>
2826140,2828030,marikaiti sun=suja
2843291,2845464,marikaiti sun=suja
2865074,2868414,xxx
2871824,2874044,marikaiti sun=suja <sueko> nda=ja ?
2887804,2894474,sunguti=ja <sinbun>=du dumun=su=du
2978159,2985479,sunguti=ja <sinbun>=du dumun=su=nga=du maci=na
2993649,2994809,maci=na
3001019,3002259,sunguti=ja
3003409,3007889,<sinbun>=du dumun=su=nga=du maci=na
3011169,3012359,maci=na
3020504,3024104,i hata=tana <denwa> kirun=su=ja
3027574,3028624,iganun
3034569,3035659,n iganun
3066830,3073130,i hata=tana <dinwa> ki=ngasi=ja ija abuta=nki mutakari=du kiru
3075470,3076580,ki=ngasi=ja
3077805,3080315,ija abuta=nki mutakari=du kiru
3082700,3084240,xxx
3096460,3097310,xxx
3104165,3105715,mutakai=du kiru
3122970,3124700,uni=nu kutu minun=ju
3129845,3131405,uni=nu kutu minun=ju
3148235,3149705,utugi=mama
3152630,3153640,xxx
3154495,3155675,tundi hjun
3159285,3160185,tundi
3161335,3162255,tundi hjun
3168965,3171795,<denki> kki=mama nindun
3174500,3175990,nindiru buru<=de=mo>
3182105,3183265,nindun
3188085,3189385,nindiru buru
3205783,3208153,nugusiti aru=ban naranu=kaja=je
3208308,3210568,xxx
3211988,3213388,naranu=kaja=je
3215568,3217128,naranu=kaja=je
