Begin Time - msec,End Time - msec,YS_Transcription-txt-rys
1766480,1769240,da=gara ndiranun nsa=kaja=je n au
1770650,1772980,da=gara ndiranun nsa=kaja
1790656,1796356,xxx
1811106,1813696,da=nki hairanu-tan=ti=n nsa=kaja=je
1848151,1850891,hairanu-tan=ti=n nsa=kaja=je<=ga>
1865991,1867011,unti
1870871,1872081,mai=nu i
1874976,1876466,mai=nu i<=to iu=sa>
1878311,1880671,xxx
1887891,1889631,muganu nsa=kaja=je <soo>
1904581,1908181,unti kindanu-tan=ti=n nsa=kaja=je
1908241,1909591,kindanu<=to=mo iu>
1912976,1913676,kindanun
1915646,1918416,muganu-tan=ti=n nsa=kaja=je
1918461,1921301,unti muganu-tan=ti=n nsa=kaja=je
1921951,1922791,kindanu
1924951,1927391,kindanu-tan=ti=n nsa=kaja=je
1934921,1935591,ija-abuta
1948306,1952486,ija-abuta=nki tigami kaganu-tan=ti=n nsa=kaja=je
1983896,1986156,ciranu-tan=ti=n nsa=kaja=je
2029936,2033696,nai=gara nindanu=ngasi=ja naranu=kaja=je
2043186,2044176,nindi=jo
2058341,2061260,nindanu=ngasi=ja naranu=kaja=je
2063095,2066725,nindanu=ngasi=ja naranu=kaja=je
2069140,2070600,naranu=kaja=je
2076360,2077080,udu
2084780,2088790,udu kkanu=ngasi=ja naranu=kaja=je udu kki=jo
2093575,2094385,udu
2124450,2126180,xxx
2130655,2132805,udu kkanu=ngasi=ja naranu=n=do
2134360,2135220,kuiri=jo
2148360,2149670,nnari husjan=do
2157655,2159045,hwanu=ngasi=ja
2160820,2163390,nnari hwanu=ngasi=ja naranun=do
2171195,2172425,naranun=do
2183400,2184350,hui=jo
2192845,2195265,nnari husi nsa=kaja=je
2200515,2202055,husi nsa=kaja=je
2235995,2242985,a=nga isi warjan isi warjan nda=ja da=ni (wara..). buranun=suja<=to>
2254530,2258220,a=nga ici=n si-tan=tin da=ni waranun=suja
2263535,2266805,a=nga ici=n si-tan=ti=n da=ni buranun=suja<=to>
2282305,2284715,xxx
2294610,2297670,nai=ja nai da=ni waru=na<=to=ga iu>
2309950,2311400,xxx
2312905,2314175,nai buranun=do
2336260,2338480,nai waranun=do<=to iu=sa>
2341530,2343890,xxx
2357390,2358720,xxx
2368825,2369945,xxx
2375375,2378275,xxx
2379220,2380330,xxx
2383485,2384685,xxx
2389905,2391305,umutsan=su=ja
2399035,2400755,xxx
2412615,2414165,umutsan=suja=je
2415420,2416620,xxx
2419340,2423380,ttun umutsamjan nda=nga ndi buranu=ngasi ttun umutsa-minun=su=ja
2427340,2428980,mucikasa=du an=suja
2442620,2444970,umutsa=nga mucikasa=du an=suja
2449555,2450825,umutsa=nga
2490970,2493090,xxx
2494630,2496540,xxx
2502090,2503960,hantuda=ja kiru=nga
2505095,2506735,hantuda=ja kiru=nga
