Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
1466773,1468230,i maga=na,157,i magana
1470117,1471514,i maga=na,158,i magana
1476759,1477666,maga,159,maga
1489876,1491548,magasi nsa=na,161,magasi nsana
1495749,1498068,dui magasi nsa=na,162,dui magasi nsana
1524289,1526452,da agi nsa=na,163,da agi nsana
1530955,1534357,dadu dadu agi nsa=na,165,dadu dadu agi nsana
1576406,1579386,dadu agi=ngasi=ja naranu=kaja=je,169,dadu agingasija naranukajaje
1581851,1583552,naranu=kaja=je,170,naranukajaje
1598097,1600787,dadu simi=ngasi=ja naranu=kaja=je,171,dadu simingasija naranukajaje
1609941,1611450,simi nsan=do,172,simi nsando
1613653,1615734,simi=ngasi=ja naranun=do,173,simingasija naranundo
1632020,1633050,kki nsa=na,174,kki nsana
1641950,1644770,<denki> kki=ngasi=ja naranu=kaja=je,176,qdenki kkingasija naranukajaje
1678530,1679540,naran,178,naran
1726295,1730485,<denki> samasi=ngasi=ja naranu=kaja=je <ii=jo kore>,183,qdenki samasingasija naranukajaje qiijo qkore
1761280,1763360,da=gara ndiranun=do,184,dagara ndiranundo
1766480,1769240,da=gara ndiranun nsa=kaja=je n au,185,dagara ndiranun nsakajaje n au
1770650,1772980,da=gara ndiranun nsa=kaja,186,dagara ndiranun nsakaja
1811106,1813696,da=nki hairanu-tan=ti=n nsa=kaja=je,188,danki hairanutantin nsakajaje
1848151,1850891,hairanu-tan=ti=n nsa=kaja=je<=ga>,189,hairanutantin nsakajajeqga
1870871,1872081,mai=nu i,191,mainu i
1874976,1876466,mai=nu i<=to iu=sa>,192,mainu iqto qiusa
1887891,1889631,muganu nsa=kaja=je <soo>,194,muganu nsakajaje qsoo
1904581,1908181,unti kindanu-tan=ti=n nsa=kaja=je,195,unti kindanutantin nsakajaje
1908241,1909591,kindanu<=to=mo iu>,196,kindanuqtomo qiu
1912976,1913676,kindanun,197,kindanun
1915646,1918416,muganu-tan=ti=n nsa=kaja=je,198,muganutantin nsakajaje
1918461,1921301,unti muganu-tan=ti=n nsa=kaja=je,199,unti muganutantin nsakajaje
1921951,1922791,kindanu,200,kindanu
1924951,1927391,kindanu-tan=ti=n nsa=kaja=je,201,kindanutantin nsakajaje
1948306,1952486,ija-abuta=nki tigami kaganu-tan=ti=n nsa=kaja=je,203,ijaabutanki tigami kaganutantin nsakajaje
1983896,1986156,ciranu-tan=ti=n nsa=kaja=je,204,ciranutantin nsakajaje
2029936,2033696,nai=gara nindanu=ngasi=ja naranu=kaja=je,205,naigara nindanungasija naranukajaje
2043186,2044176,nindi=jo,206,nindijo
2058341,2061260,nindanu=ngasi=ja naranu=kaja=je,207,nindanungasija naranukajaje
