Begin Time - msec,End Time - msec,YS_Transcription-txt-rys
1877798,1881217,ta=nga ta=nga aru=ban nnitan=do
1882670,1883791,aru=ba
1886717,1890574,ta=nga aruban kami a=ndi nnitan=do
1891327,1893538,kami an=su nnitan=do<=to=mo>
1906257,1907646,kami
1909900,1912101,ta aru=ban nnitan=do
1912539,1916289,ta aru=ban ta aru=ban nnitan=do
1926465,1929008,ta aru=ban ta aru=ban
1930044,1931401,nnitan=do
1940337,1941694,nu aru=ban
1942468,1943569,hai hai
1944546,1945539,hai
1946976,1948728,hai=jo hai=jo
1950256,1951891,nu aru=ban hai=jo<=to>
1953797,1955731,ta nu aru=ban
1958429,1959551,hai=jo
1971703,1973659,nma=nki aru=ban hiru=na
1976613,1977532,hiru=na
1993215,1995459,ici aru=ban tubai=ndagi=jo
2011089,2013685,ta=n nnanutan=do
2015111,2016500,xxx
2030901,2032792,nu=n hanutan=do
2033149,2034976,nu=n hanutan=do
2048293,2049756,xxx
2050969,2051748,nu=n
2052181,2054093,nu=n hun=na=jo
2068436,2070669,nma=nki=n hin=na=jo
2113447,2115488,ttu=n hiranutan=do<=to=ga iu>
2117768,2119371,hiranutan=do
2125314,2126052,xxx
2134571,2136762,ttun hiranutan=do
2141622,2145821,ttun ttun hiranun=do
2150576,2153706,(ttu...) ttun hiranun=do<=to iu=no=wa>
2157043,2158924,ttun hiranutan=do<=ttara>
2164209,2166327,ttun hiranutan=do
2175924,2178010,nundin=du=ba hiranun=do
2178074,2179494,nundin=tantin
2188988,2191182,nundin=du=ba hiranun=do<=to=ga iu>
2192978,2196107,nundin ndari=tantin hiranun=do
2199235,2200601,hiranun=do
2218619,2220457,ta=n hirarirun=do
2224726,2226350,hirarirun=do
2238893,2241151,nu=n harirun=do
2242076,2243538,harirun=do
2263448,2265921,ta=n hirarirun=do<=to ittara soo>
2273813,2275996,ttui=bagai=du hirariru=do
2277652,2279006,xxx
2298017,2303350,a=nga kkuru munu=ja nu a=tantin hanu ttu naranun=do
2307876,2309392,a=nga kkuru munu
2310441,2312226,a=nga kkuru munu
2314290,2316516,nu a=tantin hai=jo<=to>
2357942,2361512,a=nga nma=nki hi=tantin a=nga nbi ui ku=jo<=to>
2364125,2364975,hi=tantin
2366163,2367023,a=nga
2371475,2375356,a=nga nma=nki hi=tantin a=nga nbi ui ku=jo
2376802,2379222,a=nga nbi ui ku=jo
2380576,2381555,ui ku=jo
2405312,2406591,ui ku=jo
2407607,2409790,a=nga nbi ui ku=jo
2459019,2462653,icin nda kutu mui bun=do
2463825,2466944,ici a=tantin nda kutu mui bun=do
2471710,2474979,ici a=tantin nda kutu umui bun=do
2477108,2478151,nda kutu
2482522,2483823,xxx
2520923,2524741,nma=nki hi=tantin nda=nu nbi ui hirun=do
2525020,2527665,nda=nu nbi ui hirun=do
2529020,2530407,ui hirun=do
2590652,2592362,nkaci=ja
2593622,2594432,wa
2597077,2599897,wa kkanai buru ttu=nga maisatan=do
2611097,2611847,ttu=nga
2612802,2614252,maisjatan=do
2644020,2648150,nkaci=ja wa kkanai buru ttu=nga maisatan=do
2649645,2651335,ttu=nga maisatan=do
2657050,2658890,da=ni kkanai butan=do<=de=mo>
2664164,2665024,da=ni
2684934,2687614,wa kkanai buru ttu=nga maisata=nga
2687974,2692484,nni=n wa nnari kkanai buru ttu=nga maisata=nga
2692549,2693999,nai=ja
2695844,2697874,kkanai buru ttu saga=daru<=to>
2699679,2701779,kkanai buru ttu saga=daru
2718209,2721769,nkaci=ja wa=ja nmi=n kumi=n nnarita=nga
2725259,2726309,nmi=n
2726974,2728414,nmi=n kumi=n
2731694,2733484,nni nnarita=nga
2736899,2739729,nmi=n kumi=n nnarita=nga
2741294,2742764,nai=ja
2743219,2744739,nnaninu
2824829,2827029,mjaru munu=ja
2829759,2833569,duttu=nu munu=n ai gina munu=n ai=du buru
2839484,2841224,duttu=nu munu=n ai
2843504,2845684,gina munu=nga=n ai=du buru
2849684,2850474,aru=nga
2851079,2853419,duttu=nu munu=n a=nga<=de=mo=ne>
2853639,2858529,duttu=nu munu=n a=nga gina munu=n ai=du buru
2858739,2860339,<husee>=wa gina<=to=ga iu>
2861549,2864149,gina munu=nga ai=du buru
2867399,2869269,munu=nga ai=du buru
2885484,2886694,nunkun
2898349,2906699,nunkun nunkun duttu=nu munu a=nga gina munu=n ai=du buru
2909791,2912061,gina munu=n ai=du buru
2914397,2916249,gina munu<=to iu=no=ga>
2921560,2922656,ai=du buru
2962162,2963597,ta=n<=to iu=ttara>
2966271,2968542,nunkun<=to it=tara>
2998170,2999762,hagu hagu<=ne>
3000114,3002906,hagu=nga iguci=n ai=du buru
3029221,3032248,niku=du nii buru (ni...) nii buru
3047903,3050106,angamiti=du ninsi buru=do
3051946,3053526,ninsi buru=do<=to iu>
3081511,3083280,niku=du nii buru
3098712,3100443,niku=du nii buru
3109121,3111146,nnari=du sumi buru
3112753,3113680,sumi buru
3134102,3135521,sungai=du buru
3147458,3149094,nma=nki nurun
3158435,3161509,angamiti=du nma=nki=du nusiru
3163728,3164655,nusiru
3187744,3189002,nni=nga
3190331,3191646,nkirun
3192795,3193590,nkirun
3194308,3195718,xxx
3211084,3212437,nkirun
3240317,3242077,hai munu=nga tarirun
3244054,3245842,hai munu=nga tarirun
3250500,3251484,tari=du buru
3256204,3257453,tari=du buru
3266079,3269589,hai munu=nga tarirun=do
3271069,3273850,hai munu=ja tarirun hai munu=ja<=de=wa nakute>
3273992,3276186,hai munu=ja tarirun=do
3282947,3284915,uma=ja taru=kaja n
3288349,3290524,hai munu=ja tarirun=do
3332016,3333142,taranu=bi
3333629,3334670,tan=do
3336561,3337384,taranu=bi
3339252,3341059,<kore=ni> tan=do
3345377,3347429,taranu=bi tan=do<=to>
3355068,3356657,tasjan=do<=to=mo iu>
3362837,3364219,xxx
3364460,3365529,tan=do
3375428,3376856,maabin<=de=ga iu>
3389281,3391428,(baa...) baan=do
3393500,3394606,baa=n=do
3404770,3406501,kudara baan=do
3406572,3407395,xxx
3416092,3417530,<a are=wa> magai
3419744,3421929,<=to=wa> magai<=to iu=sa> magai
3423371,3425462,<are=wa> kudara kudara
3427689,3429193,xxx
3429510,3431440,xxx
3460892,3462425,bari=du buru<=ne>
3464430,3465858,bari=du buru
3466137,3468058,kudara=nga bari=du buru=do
3468374,3470190,magai=nga bari=du buru
3471032,3472025,bari=du buru
3477213,3478197,barjan
3482038,3483400,barjan=do
3483996,3484895,barjan
3487311,3489724,kudara=nga barjan=do
3495647,3497587,xxx
3502098,3503309,xxx
3503677,3504926,baritan
3505767,3508359,baritan=do baritan=do
3510875,3512237,baritan=do
3527306,3529970,barjan=do barjan=do<=to=mo>
3536839,3538466,u=ja barjan=do
3538466,3539441,barja=do
3553615,3555450,xxx
3557720,3560605,xxx
3561631,3563296,xxx
3568366,3570156,xxx
3587452,3590214,xxx
3599068,3600723,xxx
3610253,3611379,kudara=du
3613503,3614789,xxx
3635174,3636574,anu=ja kudara=du
3637634,3638617,kudara=du
3640727,3641918,ban=do
3651614,3652730,kudara=du
3658143,3660279,anu=ja kudara=du ban=do
3665904,3667663,kudara=du baaru=do
3671541,3673423,xxx
3764994,3767047,unu sunguti=du dumitaru=do
3772954,3776002,xxx
3783632,3786603,xxx
3786695,3789569,xxx
3791737,3794688,xxx
3798433,3801616,xxx
3807253,3810275,xxx
3819266,3822197,xxx
3825895,3828262,xxx
3839959,3842294,min=nga muri=du buru=do
3842980,3845155,min=sga muri=du buru=do
3874237,3875405,min=du
3876951,3878535,utusi buru=do<=to=ga=ja>
3904321,3905719,murai=du buru=do<=to iu>
3945647,3947565,min muri=du bun=suja
3951738,3952719,nbai=nga
3956520,3957405,murasjan=suja
4035507,4036661,amadai
4047317,4049010,xxx
4050780,4051621,xxx
4051841,4054010,xxx
