Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
1748741,1751221,du=nu sikama mikjaru=do,157,dunu sikama mikjarudo
1754021,1755271,mikjaru,158,mikjaru
1756846,1758026,mikjaru=do,159,mikjarudo
1766396,1767466,mikjaru,160,mikjaru
1821928,1827318,kami=ja sunguti=du a=na sunguti,161,kamija sungutidu ana sunguti
1849560,1853938,sunguti=ja sunguti=ja kagin,162,sungutija sungutija kagin
1855638,1857582,kabi muti bu=nga,163,kabi muti bunga
1861644,1863329,kabi muti bu=na,164,kabi muti buna
1877798,1881217,ta=nga ta=nga aru=ban nnitan=do,165,tanga tanga aruban nnitando
1886717,1890574,ta=nga aruban kami a=ndi nnitan=do,167,tanga aruban kami andi nnitando
1891327,1893538,kami an=su nnitan=do<=to=mo>,168,kami ansu nnitandoqtomo
1906257,1907646,kami,169,kami
1909900,1912101,ta aru=ban nnitan=do,170,ta aruban nnitando
1912539,1916289,ta aru=ban ta aru=ban nnitan=do,171,ta aruban ta aruban nnitando
1926465,1929008,ta aru=ban ta aru=ban,172,ta aruban ta aruban
1930044,1931401,nnitan=do,173,nnitando
1940337,1941694,nu aru=ban,174,nu aruban
1950256,1951891,nu aru=ban hai=jo<=to>,178,nu aruban haijoqto
1953797,1955731,ta nu aru=ban,179,ta nu aruban
1971703,1973659,nma=nki aru=ban hiru=na,181,nmanki aruban hiruna
1993215,1995459,ici aru=ban tubai=ndagi=jo,183,ici aruban tubaindagijo
2011089,2013685,ta=n nnanutan=do,184,tan nnanutando
2030901,2032792,nu=n hanutan=do,186,nun hanutando
2033149,2034976,nu=n hanutan=do,187,nun hanutando
2050969,2051748,nu=n,189,nun
2052181,2054093,nu=n hun=na=jo,190,nun hunnajo
2068436,2070669,nma=nki=n hin=na=jo,191,nmankin hinnajo
2113447,2115488,ttu=n hiranutan=do<=to=ga iu>,192,ttun hiranutandoqtoga qiu
2134571,2136762,ttun hiranutan=do,195,ttun hiranutando
2141622,2145821,ttun ttun hiranun=do,196,ttun ttun hiranundo
2150576,2153706,(ttu...) ttun hiranun=do<=to iu=no=wa>,197,ttu ttun hiranundoqto qiunowa
2157043,2158924,ttun hiranutan=do<=ttara>,198,ttun hiranutandoqttara
2164209,2166327,ttun hiranutan=do,199,ttun hiranutando
2175924,2178010,nundin=du=ba hiranun=do,200,nundinduba hiranundo
2178074,2179494,nundin=tantin,201,nundintantin
2188988,2191182,nundin=du=ba hiranun=do<=to=ga iu>,202,nundinduba hiranundoqtoga qiu
2192978,2196107,nundin ndari=tantin hiranun=do,203,nundin ndaritantin hiranundo
2218619,2220457,ta=n hirarirun=do,205,tan hirarirundo
2238893,2241151,nu=n harirun=do,207,nun harirundo
2263448,2265921,ta=n hirarirun=do<=to ittara soo>,209,tan hirarirundoqto qittara qsoo
2273813,2275996,ttui=bagai=du hirariru=do,210,ttuibagaidu hirarirudo
2298017,2303350,a=nga kkuru munu=ja nu a=tantin hanu ttu naranun=do,212,anga kkuru munuja nu atantin hanu ttu naranundo
2307876,2309392,a=nga kkuru munu,213,anga kkuru munu
2310441,2312226,a=nga kkuru munu,214,anga kkuru munu
2314290,2316516,nu a=tantin hai=jo<=to>,215,nu atantin haijoqto
2357942,2361512,a=nga nma=nki hi=tantin a=nga nbi ui ku=jo<=to>,216,anga nmanki hitantin anga nbi ui kujoqto
2371475,2375356,a=nga nma=nki hi=tantin a=nga nbi ui ku=jo,219,anga nmanki hitantin anga nbi ui kujo
2376802,2379222,a=nga nbi ui ku=jo,220,anga nbi ui kujo
2380576,2381555,ui ku=jo,221,ui kujo
2405312,2406591,ui ku=jo,222,ui kujo
2407607,2409790,a=nga nbi ui ku=jo,223,anga nbi ui kujo
2459019,2462653,icin nda kutu mui bun=do,224,icin nda kutu mui bundo
2463825,2466944,ici a=tantin nda kutu mui bun=do,225,ici atantin nda kutu mui bundo
2471710,2474979,ici a=tantin nda kutu umui bun=do,226,ici atantin nda kutu umui bundo
2477108,2478151,nda kutu,227,nda kutu
2520923,2524741,nma=nki hi=tantin nda=nu nbi ui hirun=do,229,nmanki hitantin ndanu nbi ui hirundo
2525020,2527665,nda=nu nbi ui hirun=do,230,ndanu nbi ui hirundo
2590652,2592362,nkaci=ja,232,nkacija
2597077,2599897,wa kkanai buru ttu=nga maisatan=do,234,wa kkanai buru ttunga maisatando
2611097,2611847,ttu=nga,235,ttunga
2612802,2614252,maisjatan=do,236,maisjatando
2644020,2648150,nkaci=ja wa kkanai buru ttu=nga maisatan=do,237,nkacija wa kkanai buru ttunga maisatando
2649645,2651335,ttu=nga maisatan=do,238,ttunga maisatando
2657050,2658890,da=ni kkanai butan=do<=de=mo>,239,dani kkanai butandoqdemo
2684934,2687614,wa kkanai buru ttu=nga maisata=nga,241,wa kkanai buru ttunga maisatanga
2687974,2692484,nni=n wa nnari kkanai buru ttu=nga maisata=nga,242,nnin wa nnari kkanai buru ttunga maisatanga
2692549,2693999,nai=ja,243,naija
2695844,2697874,kkanai buru ttu saga=daru<=to>,244,kkanai buru ttu sagadaruqto
2699679,2701779,kkanai buru ttu saga=daru,245,kkanai buru ttu sagadaru
2718209,2721769,nkaci=ja wa=ja nmi=n kumi=n nnarita=nga,246,nkacija waja nmin kumin nnaritanga
2725259,2726309,nmi=n,247,nmin
2726974,2728414,nmi=n kumi=n,248,nmin kumin
2731694,2733484,nni nnarita=nga,249,nni nnaritanga
2736899,2739729,nmi=n kumi=n nnarita=nga,250,nmin kumin nnaritanga
2741294,2742764,nai=ja,251,naija
2743219,2744739,nnaninu,252,nnaninu
2824829,2827029,mjaru munu=ja,253,mjaru munuja
2829759,2833569,duttu=nu munu=n ai gina munu=n ai=du buru,254,duttunu munun ai gina munun aidu buru
2839484,2841224,duttu=nu munu=n ai,255,duttunu munun ai
2843504,2845684,gina munu=nga=n ai=du buru,256,gina munungan aidu buru
2851079,2853419,duttu=nu munu=n a=nga<=de=mo=ne>,258,duttunu munun angaqdemone
2853639,2858529,duttu=nu munu=n a=nga gina munu=n ai=du buru,259,duttunu munun anga gina munun aidu buru
2861549,2864149,gina munu=nga ai=du buru,261,gina mununga aidu buru
2867399,2869269,munu=nga ai=du buru,262,mununga aidu buru
2885484,2886694,nunkun,263,nunkun
2898349,2906699,nunkun nunkun duttu=nu munu a=nga gina munu=n ai=du buru,264,nunkun nunkun duttunu munu anga gina munun aidu buru
2909791,2912061,gina munu=n ai=du buru,265,gina munun aidu buru
2914397,2916249,gina munu<=to iu=no=ga>,266,gina munuqto qiunoga
2962162,2963597,ta=n<=to iu=ttara>,268,tanqto qiuttara
2966271,2968542,nunkun<=to it=tara>,269,nunkunqto qittara
3029221,3032248,niku=du nii buru (ni...) nii buru,272,nikudu nii buru ni nii buru
3047903,3050106,angamiti=du ninsi buru=do,273,angamitidu ninsi burudo
3051946,3053526,ninsi buru=do<=to iu>,274,ninsi burudoqto qiu
3081511,3083280,niku=du nii buru,275,nikudu nii buru
3098712,3100443,niku=du nii buru,276,nikudu nii buru
3109121,3111146,nnari=du sumi buru,277,nnaridu sumi buru
3147458,3149094,nma=nki nurun,280,nmanki nurun
3158435,3161509,angamiti=du nma=nki=du nusiru,281,angamitidu nmankidu nusiru
3163728,3164655,nusiru,282,nusiru
3187744,3189002,nni=nga,283,nninga
3190331,3191646,nkirun,284,nkirun
3192795,3193590,nkirun,285,nkirun
3211084,3212437,nkirun,287,nkirun
3240317,3242077,hai munu=nga tarirun,288,hai mununga tarirun
3244054,3245842,hai munu=nga tarirun,289,hai mununga tarirun
3250500,3251484,tari=du buru,290,taridu buru
3256204,3257453,tari=du buru,291,taridu buru
3266079,3269589,hai munu=nga tarirun=do,292,hai mununga tarirundo
3271069,3273850,hai munu=ja tarirun hai munu=ja<=de=wa nakute>,293,hai munuja tarirun hai munujaqdewa qnakute
3273992,3276186,hai munu=ja tarirun=do,294,hai munuja tarirundo
3282947,3284915,uma=ja taru=kaja n,295,umaja tarukaja n
3288349,3290524,hai munu=ja tarirun=do,296,hai munuja tarirundo
3332016,3333142,taranu=bi,297,taranubi
3333629,3334670,tan=do,298,tando
3336561,3337384,taranu=bi,299,taranubi
3339252,3341059,<kore=ni> tan=do,300,qkoreni tando
3345377,3347429,taranu=bi tan=do<=to>,301,taranubi tandoqto
3355068,3356657,tasjan=do<=to=mo iu>,302,tasjandoqtomo qiu
3364460,3365529,tan=do,304,tando
3375428,3376856,maabin<=de=ga iu>,305,maabinqdega qiu
3404770,3406501,kudara baan=do,308,kudara baando
3416092,3417530,<a are=wa> magai,310,qa qarewa magai
3419744,3421929,<=to=wa> magai<=to iu=sa> magai,311,qtowa magaiqto qiusa magai
3423371,3425462,<are=wa> kudara kudara,312,qarewa kudara kudara
3466137,3468058,kudara=nga bari=du buru=do,317,kudaranga baridu burudo
3468374,3470190,magai=nga bari=du buru,318,magainga baridu buru
3487311,3489724,kudara=nga barjan=do,323,kudaranga barjando
3610253,3611379,kudara=du,338,kudaradu
3635174,3636574,anu=ja kudara=du,340,anuja kudaradu
3637634,3638617,kudara=du,341,kudaradu
3651614,3652730,kudara=du,343,kudaradu
3658143,3660279,anu=ja kudara=du ban=do,344,anuja kudaradu bando
3665904,3667663,kudara=du baaru=do,345,kudaradu baarudo
3839959,3842294,min=nga muri=du buru=do,356,minnga muridu burudo
3842980,3845155,min=sga muri=du buru=do,357,minsga muridu burudo
3874237,3875405,min=du,358,mindu
3904321,3905719,murai=du buru=do<=to iu>,360,muraidu burudoqto qiu
3945647,3947565,min muri=du bun=suja,361,min muridu bunsuja
3951738,3952719,nbai=nga,362,nbainga
3956520,3957405,murasjan=suja,363,murasjansuja
