Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
1723803,1726243,min-cibu min-cibu<=te iu>,135,mincibu mincibuqte qiu
1727403,1729003,cibu<=no sjurui=ga>,136,cibuqno qsjuruiga
1735303,1738283,<kuci=no aita mono=wa> min-cibu<=to iu=wake>,137,qkucino qaita qmonowa mincibuqto qiuwake
1739123,1740393,min-cibu,138,mincibu
1744458,1745768,min-cibu,139,mincibu
1902783,1904743,ttu=ja buuru,140,ttuja buuru
1923048,1924308,ttu buuru,142,ttu buuru
1938523,1939623,ttu=du,144,ttudu
2014874,2016144,ttu=ja,150,ttuja
2102001,2105081,kidungirasi kidungirasi,152,kidungirasi kidungirasi
2107401,2109311,kidungirasi buru,153,kidungirasi buru
2109626,2110806,ttu=ja,154,ttuja
2141251,2143961,kidunggirasi kidunggirasi,157,kidunggirasi kidunggirasi
2146416,2150806,ttu=ja <booru>=du kidunggirasi buru,158,ttuja qboorudu kidunggirasi buru
2268101,2269461,kidunggurasi,159,kidunggurasi
2270451,2273011,kidunggurasi kidunggurasi,160,kidunggurasi kidunggurasi
2275021,2276201,kidunggurasi,161,kidunggurasi
2277491,2279181,kidunggurasi<=to=ga>,162,kidunggurasiqtoga
2290276,2292436,kirasi=du buru<=to ittara=jo>,163,kirasidu buruqto qittarajo
2296614,2299159,<are=de asi=de> kidunggurasi<=te iu=sa=ne>,164,qarede qaside kidunggurasiqte qiusane
2300144,2300990,kidunggurasi,165,kidunggurasi
2303713,2305376,kidunggurasi,166,kidunggurasi
2309113,2311302,n kidunggurasu<=mo aru=kedo>,167,n kidunggurasuqmo qarukedo
2311474,2313190,kidunggurasi<=ga>,168,kidunggurasiqga
2383793,2384956,kjanggiri,169,kjanggiri
2386868,2388458,kidunggira<=to>,170,kidunggiraqto
2390416,2391913,kidunggirasi,171,kidunggirasi
2397493,2399647,kidunggirasi,172,kidunggirasi
2400891,2402641,kidunggirata,173,kidunggirata
2407145,2408400,kjanggitan,174,kjanggitan
2413658,2415149,kidunggitan,175,kidunggitan
2416315,2417570,kjanggitan,176,kjanggitan
2421370,2423438,<onasi kotoba> kjanggitan,177,qonasi qkotoba kjanggitan
2424926,2425900,kjanggitan,178,kjanggitan
2426248,2427457,kidunggirasi,179,kidunggirasi
2434569,2435766,kjanggitan<=ga>,180,kjanggitanqga
2438705,2439839,kidunggirasi,181,kidunggirasi
2448694,2450410,kidunggirasi <ima=no>,182,kidunggirasi qimano
2458225,2459815,kjanggitan<=to iu=no=wa>,183,kjanggitanqto qiunowa
2482068,2483802,minunga-angami=nga,184,minungaangaminga
2484313,2485700,ttantu=na,185,ttantuna
2486692,2487552,ttantu,186,ttantu
2488528,2489768,ttantu=na,187,ttantuna
2492679,2495086,minunga-angami=nga ttantu=nga,188,minungaangaminga ttantunga
2495535,2497208,isu=nki ntui bun,189,isunki ntui bun
2498984,2500304,ttantu=na,190,ttantuna
2504004,2505829,minunga-angami=nga,191,minungaangaminga
2509136,2511069,minunga=nga<=de=mo ii=ne>,192,minungangaqdemo qiine
2511615,2512855,minunga=nga<=to ittara>,193,minungangaqto qittara
2527295,2528242,ttantu,194,ttantu
2530734,2532654,isu=nki ntui=du buru,195,isunki ntuidu buru
2540511,2541483,ntui buru,197,ntui buru
2545065,2546499,ntui=du buru,198,ntuidu buru
2559141,2561775,minunga-angami=nga ttantu=na,201,minungaangaminga ttantuna
2562042,2563980,isu=nki ntui=du buru,202,isunki ntuidu buru
2578089,2578827,maasiku,203,maasiku
