Begin Time - msec,End Time - msec,YS_Transcription-txt-rys
2296614,2299159,<are=de asi=de> kidunggurasi<=te iu=sa=ne>
2300144,2300990,kidunggurasi
2303713,2305376,kidunggurasi
2309113,2311302,n kidunggurasu<=mo aru=kedo>
2311474,2313190,kidunggurasi<=ga>
2383793,2384956,kjanggiri
2386868,2388458,kidunggira<=to>
2390416,2391913,kidunggirasi
2397493,2399647,kidunggirasi
2400891,2402641,kidunggirata
2407145,2408400,kjanggitan
2413658,2415149,kidunggitan
2416315,2417570,kjanggitan
2421370,2423438,<onasi kotoba> kjanggitan
2424926,2425900,kjanggitan
2426248,2427457,kidunggirasi
2434569,2435766,kjanggitan<=ga>
2438705,2439839,kidunggirasi
2448694,2450410,kidunggirasi <ima=no>
2458225,2459815,kjanggitan<=to iu=no=wa>
2482068,2483802,minunga-angami=nga
2484313,2485700,ttantu=na
2486692,2487552,ttantu
2488528,2489768,ttantu=na
2492679,2495086,minunga-angami=nga ttantu=nga
2495535,2497208,isu=nki ntui bun
2498984,2500304,ttantu=na
2504004,2505829,minunga-angami=nga
2509136,2511069,minunga=nga<=de=mo ii=ne>
2511615,2512855,minunga=nga<=to ittara>
2527295,2528242,ttantu
2530734,2532654,isu=nki ntui=du buru
2537508,2538534,isu=nki
2540511,2541483,ntui buru
2545065,2546499,ntui=du buru
2554116,2556114,xxx
2556441,2558415,#NAME?
2559141,2561775,minunga-angami=nga ttantu=na
2562042,2563980,isu=nki ntui=du buru
2578089,2578827,maasiku
